Database Name	CLS ODA
Database Location	http://operetta-cls.dyn.scilifelab.se/ODA/OdaService.asmx
Evaluation Signature	8d7e79c9-eb4a-4cf4-a8bf-b2ad302dd2ee
Plate Name	P105274
Measurement	Measurement 3
Evaluation	Evaluation2

[Data]
Row	Column	Plane	Timepoint	number of cells	spot area per cell	Number of Spots per Area of Cell - Mean per Well	sum spot intensity per cell	Spots - Intensity Spot CellMask Green Mean - Sum per Well	Number of Analyzed Fields	Height [µm]	Time [s]	Compound	Concentration	Cell Type	Cell Count	
15	12	1	1	773	8,12160413972	0,000130088144787	435,827241078	336894,457354	4	0	0					
14	12	1	1	748	31,9024064171	0,00106019595233	2986,64343696	2234009,29085	4	0	0					
13	12	1	1	602	165,868770764	0,00517102647773	15407,4192496	9275266,38823	4	0	0					
12	12	1	1	564	284,379432624	0,00839353275226	27083,9579952	15275352,3093	4	0	0					
11	12	1	1	17	72,2941176471	0,00228617810781	2933,74654904	49873,6913337	4	0	0					
10	12	1	1	804	7,36567164179	0,000104740801756	390,694072473	314118,034268	4	0	0					
9	12	1	1	803	9,87173100872	0,000223371907046	565,03442747	453722,645258	4	0	0					
8	12	1	1	774	38,0374677003	0,00129039746406	3535,8296119	2736732,11961	4	0	0					
7	12	1	1	653	205,439509954	0,00590812138358	18408,648727	12020847,6187	4	0	0					
6	12	1	1	660	325,074242424	0,00896332639999	30669,9337683	20242156,2871	4	0	0					
5	12	1	1	23	103,695652174	0,00234397330306	2747,83981355	63200,3157116	4	0	0					
4	12	1	1	17	314,058823529	0,00404762208243	6146,07451957	104483,266833	4	0	0					
3	12	1	1	21	233,714285714	0,0033422602518	4832,98197835	101492,621545	4	0	0					
2	12	1	1	30	276,7	0,00388867461394	5384,21383259	161526,414978	4	0	0					
1	12	1	1	33	282,878787879	0,00425590342616	5713,61961993	188549,447458	4	0	0					
1	13	1	1	962	16,395010395	0,000289338793951	864,742739718	831882,515608	4	0	0					
2	13	1	1	840	8,42738095238	0,000147394766325	514,815986544	432445,428697	4	0	0					
3	13	1	1	780	8,69743589744	0,000176776138146	561,434350963	437918,793751	4	0	0					
4	13	1	1	848	8,36320754717	0,0001776972939	544,884352	462061,930496	4	0	0					
5	13	1	1	859	8,76600698487	0,000133024326912	416,415160038	357700,622472	4	0	0					
6	13	1	1	904	6,76438053097	0,000137528579667	397,976766014	359770,996477	4	0	0					
7	13	1	1	918	9,72766884532	0,000169970533284	478,772150613	439512,834263	4	0	0					
8	13	1	1	748	11,3890374332	0,000188846938965	656,047668558	490723,656081	4	0	0					
9	13	1	1	847	10,4840613932	0,000165378649816	559,47874752	473878,49915	4	0	0					
10	13	1	1	785	8,5821656051	0,000191813375494	574,236224062	450775,435889	4	0	0					
11	13	1	1	737	14,3337856174	0,00016004546864	520,59897844	383681,44711	4	0	0					
12	13	1	1	799	6,43679599499	0,000122040184408	403,929686225	322739,819294	4	0	0					
13	13	1	1	9	179,444444444	0,00343778841974	3914,55802712	35231,0222441	4	0	0					
14	13	1	1	304	437,246710526	0,00870327923449	45367,3962339	13791688,4551	4	0	0					
15	13	1	1	507	124,179487179	0,0030062600122	10924,5702404	5538757,1119	4	0	0					
16	13	1	1	659	24,2048558422	0,000591752764483	2048,89207259	1350219,87584	4	0	0					
16	14	1	1	472	67,7987288136	0,00201300962066	6376,28589919	3009606,94442	4	0	0					
15	14	1	1	59	176,644067797	0,00332077484187	10815,3096479	638103,269227	4	0	0					
14	14	1	1	774	6,32945736434	0,000114070079603	385,00334812	297992,591445	4	0	0					
13	14	1	1	765	12,7385620915	0,000176633208325	693,020424835	530160,624999	4	0	0					
12	14	1	1	873	22,6930126002	0,000579780129754	1728,96491707	1509386,3726	4	0	0					
11	14	1	1	635	56,9244094488	0,00166418482637	4458,83394047	2831359,5522	4	0	0					
10	14	1	1	658	57,2750759878	0,0018010264442	4624,86446135	3043160,81557	4	0	0					
9	14	1	1	45	236,333333333	0,00386295176059	11568,5886884	520586,490977	4	0	0					
8	14	1	1	837	6,28434886499	0,000118160778403	401,803284864	336309,349431	4	0	0					
7	14	1	1	813	13,012300123	0,000178123760435	596,163315079	484680,775159	4	0	0					
6	14	1	1	699	18,9456366237	0,000435116025684	1358,2277586	949401,20326	4	0	0					
5	14	1	1	542	95,6365313653	0,00243843302249	7721,67143383	4185145,91714	4	0	0					
4	14	1	1	462	249,281385281	0,00629032815992	21483,0600479	9925173,74214	4	0	0					
3	14	1	1	49	212,06122449	0,00222066436462	3131,05601354	153421,744664	4	0	0					
2	14	1	1	917	6,31624863686	0,000123464598672	368,693413129	338091,859839	4	0	0					
1	14	1	1	903	17,6943521595	0,000230062036454	848,772300928	766441,387738	4	0	0					
1	15	1	1	816	50,8272058824	0,00172110949062	4593,91648134	3748635,84878	4	0	0					
2	15	1	1	799	21,6770963705	0,000533766233717	1782,12434351	1423917,35046	4	0	0					
3	15	1	1	914	10,0940919037	0,000206561333861	622,79545295	569235,043997	4	0	0					
4	15	1	1	852	8,81338028169	0,000182368913689	608,483296427	518427,768556	4	0	0					
5	15	1	1	33	80,303030303	0,00141539526786	1845,10964273	60888,6182101	4	0	0					
6	15	1	1	608	297,338815789	0,00807709752007	24828,0862014	15095476,4105	4	0	0					
7	15	1	1	707	164,499292786	0,00379837677731	11078,1642013	7832262,09031	4	0	0					
8	15	1	1	665	60,9503759398	0,00200889121029	5338,47167213	3550083,66197	4	0	0					
9	15	1	1	713	12,9032258065	0,000211605215214	758,007123157	540459,078811	4	0	0					
