Well	Plane	Timepoint	Cell Selected - Number of Objects	Cell Selected - Total Spot Area - Mean per Well	Cell Selected - Number of Spots - Mean per Well	Cell Selected - Relative Spot Intensity - Mean per Well	Cell Selected - Number of Spots per Area of Cytoplasm - Mean per Well	Cell Selected - Intensity Cytoplasm Mean - Mean per Well	Spots Selected - Number of Objects	Spots Selected - Relative Spot  Intensity - Mean per Well	Spots Selected - Corrected Spot  Intensity - Mean per Well	Spots Selected - Spot Area [px²] - Mean per Well	Spots Selected - Intensity Spot Mean - Mean per Well	Number of Analyzed Fields	Height [µm]	Time [s]	Compound	Concentration	Cell Type	Cell Count	
D16	1	0	2344	7.30503412969	0.232508532423	0.00238022651666	0.000308442195861	1064.58041193	592	0.121679664711	284.358441141	31.5236486486	1993.67077565	4	0	0					
D17	1	0	2493	6.69554753309	0.207380665864	0.00214655580495	0.000273918388238	1023.02502643	568	0.120431268495	269.92999648	32.5193661972	1927.17039607	4	0	0					
D18	1	0	2479	7.30213795885	0.204114562324	0.00236041182477	0.000276463466509	1014.74864497	543	0.119678308817	279.761651832	35.9355432781	1972.74457707	4	0	0					
D19	1	0	2366	9.80515638208	0.298393913779	0.00333044692296	0.00040418951757	1039.6637388	768	0.120335900651	293.668561721	33.3619791667	2093.27087474	4	0	0					
D20	1	0	2245	15.2779510022	0.501559020045	0.00444147327688	0.000705287827634	962.276886784	1223	0.117398483089	223.087310742	30.589533933	1702.40951781	4	0	0					
D21	1	0	1715	8.73644314869	0.226822157434	0.00241114687748	0.0002508447409	958.12158732	443	0.126215672482	277.024474066	39.9006772009	1848.04560213	4	0	0					
D22	1	0	2362	8.69136325148	0.258255715495	0.00255295567791	0.000312957846356	1092.47171461	682	0.121712991242	290.240381718	33.7961876833	2076.43924799	4	0	0					
D23	1	0	2294	99.6054925894	4.20139494333	0.0395329529579	0.00581993993633	1543.97486545	10348	0.14358902469	444.327492283	23.9051024353	2883.61010039	4	0	0					
D24	1	0	2250	120.309333333	5.72622222222	0.0568188772899	0.00831334418495	1661.59991263	13963	0.155862791999	516.772970091	21.2312540285	3089.56703627	4	0	0					
E01	1	0	2322	70.3897502153	2.33979328165	0.0244331856197	0.00313830105769	1268.33209904	5819	0.127564026122	329.095296785	30.3473105345	2427.91877937	4	0	0					
E02	1	0	2379	103.016813787	4.22698612863	0.0420612742926	0.00615133764222	1533.84787012	10777	0.145308926541	425.673765676	24.6579753178	2722.54734765	4	0	0					
E03	1	0	950	29.0431578947	0.793684210526	0.00774057268706	0.000728495237755	1034.82276489	823	0.124104842844	324.537615103	37.3936816525	2019.25036314	4	0	0					
E04	1	0	2220	4.70540540541	0.133783783784	0.00192272695562	0.000176725452787	892.218530658	323	0.134459813352	338.578185115	35.9133126935	2110.39806721	4	0	0					
E05	1	0	1677	107.370304114	4.14013118664	0.0424502060311	0.00607131707068	1560.55573976	7591	0.142624386401	419.919703924	26.1482018179	2739.62863165	3	0	0					
E06	1	0	2403	7.56387848523	0.196004993758	0.00238728263154	0.000246258040739	1029.61540389	513	0.122984881819	298.488164027	38.7329434698	1991.35298659	4	0	0					
E07	1	0	2427	8.76720230738	0.241038318912	0.00287992646297	0.000308722697463	987.603225757	638	0.122033644885	340.348320081	36.512539185	2266.72614011	4	0	0					
E08	1	0	2446	8.55600981194	0.23998364677	0.00303169999253	0.000299032860418	1087.09400688	643	0.126245687329	375.771457077	36.2706065319	2481.33778374	4	0	0					
E09	1	0	2312	8.37110726644	0.213235294118	0.0025640691321	0.000264532077963	1183.40518992	536	0.124606670375	306.829742256	39.6884328358	2078.24936103	4	0	0					
E10	1	0	2153	7.30654900139	0.211797491872	0.00205961995159	0.000256473278646	1065.0417675	495	0.122751396325	315.469411274	34.7616161616	2171.2437431499998	4	0	0					
E11	1	0	2221	10.6276452049	0.314272850068	0.0035731272416	0.000415520378902	1054.39817127	744	0.123157998881	290.783950499	33.7446236559	2005.65894964	4	0	0					
E12	1	0	2271	8.38309114927	0.239542051959	0.00255347666474	0.000315459128451	1043.15340396	586	0.120383801988	277.625004304	35.0375426621	2070.44548162	4	0	0					
E13	1	0	2300	7.46565217391	0.228695652174	0.00240453412991	0.000281239077387	1079.1811621	576	0.124985037945	377.772912233	33.0989583333	2516.82496321	4	0	0					
E14	1	0	2441	8.39737812372	0.249897582958	0.00266132878903	0.000295931805265	1050.09819189	677	0.129404522953	328.542655447	33.4948301329	2116.68085856	4	0	0					
E15	1	0	2350	9.30382978723	0.303829787234	0.00340548902961	0.00040731625676	1043.20050492	771	0.129527947776	345.594705859	30.6433203632	2248.17770783	4	0	0					
E16	1	0	2229	9.07267833109	0.258411843876	0.003050786273	0.000336268575432	1043.20743361	616	0.127940884241	372.415770594	35.6217532468	2427.55422953	4	0	0					
E17	1	0	2367	8.85002112379	0.269117025771	0.00329883895438	0.000351341621336	1025.60849768	682	0.125070456715	338.462935283	33.3343108504	2164.81858031	4	0	0					
E18	1	0	647	22.9459041731	0.398763523957	0.00768823842195	0.000412904479652	952.898211219	289	0.141988279214	353.500502948	57.7508650519	2066.9048799	4	0	0					
E19	1	0	2481	8.46352277308	0.210399032648	0.003024564783	0.00028001207277	1005.59811642	550	0.12287479424	355.100241402	40.0145454545	2286.11632638	4	0	0					
E20	1	0	2353	12.570760731	0.377815554611	0.00404464094792	0.000496397615574	1002.43950427	935	0.121275119502	276.114578626	33.3818181818	1927.58398222	4	0	0					
E21	1	0	1842	16.7589576547	0.442996742671	0.00392319313359	0.000402118902156	977.952562196	946	0.12127040738	271.553079597	39.1966173362	1933.12639934	4	0	0					
E22	1	0	2184	114.114010989	4.77838827839	0.0553026266013	0.00674640053042	1738.63857344	11163	0.159155127597	615.039220811	24.0965690227	3555.39753451	4	0	0					
E23	1	0	2264	57.5591872792	2.0609540636	0.0182558383613	0.00276022341034	1198.1698976	5121	0.124160326711	281.734995044	28.1031048623	2140.09660868	4	0	0					
E24	1	0	2235	89.8017897092	4.00268456376	0.030983480895	0.00529078576483	1420.74286983	9683	0.13963840833	371.668362482	22.684395332	2485.43114426	4	0	0					
F01	1	0	2431	8.60468942822	0.234060057589	0.00362074966985	0.000315183387897	922.78740308	616	0.128656469038	330.220837241	36.8441558442	2009.17024136	4	0	0					
F02	1	0	2489	78.4491763761	3.17838489353	0.0274502225875	0.00435907473333	1311.03763663	8543	0.139269373011	352.834644786	24.8491162355	2337.92344582	4	0	0					
F03	1	0	2019	4.2862803368	0.104011887073	0.00260147890946	0.000144454899947	885.551139951	228	0.149195309997	470.336481784	41.5789473684	2441.40002572	4	0	0					
F04	1	0	2424	95.6728547855	4.08415841584	0.0453057303308	0.00609880569228	1648.49587229	10641	0.147160702535	529.911247012	23.5152711211	3279.62054617	4	0	0					
F05	1	0	899	154.32814238	5.55617352614	0.0654512979856	0.00676020213784	2001.75100885	5483	0.160266634553	641.022724996	27.9715484224	3755.08789432	4	0	0					
F06	1	0	1757	144.062037564	5.16846898122	0.0721381133628	0.00694103055118	2171.28643266	9714	0.157284627905	719.865848788	27.9715873996	4236.48757768	4	0	0					
F07	1	0	1180	20.8838983051	0.362711864407	0.00888131210935	0.00040114768567400003	1073.76609494	470	0.169908185918	543.367740585	59.5	2687.33923293	4	0	0					
F08	1	0	938	11.9520255864	0.220682302772	0.00585449753103	0.000211730901456	1015.20581156	229	0.175020116803	679.155679317	53.7816593886	3308.02694132	4	0	0					
F09	1	0	775	131.770322581	4.80774193548	0.0557690971404	0.00589930400874	1821.38990105	4087	0.144868741462	572.284424841	27.6141424027	3642.91201897	4	0	0					
