Well	Plane	Timepoint	Cell Selected - Number of Objects	Cell Selected - Total Spot Area - Mean per Well	Cell Selected - Number of Spots - Mean per Well	Cell Selected - Relative Spot Intensity - Mean per Well	Cell Selected - Number of Spots per Area of Cytoplasm - Mean per Well	Cell Selected - Intensity Cytoplasm Mean - Mean per Well	Spots Selected - Number of Objects	Spots Selected - Relative Spot  Intensity - Mean per Well	Spots Selected - Corrected Spot  Intensity - Mean per Well	Spots Selected - Spot Area [px²] - Mean per Well	Spots Selected - Intensity Spot Mean - Mean per Well	Number of Analyzed Fields	Height [µm]	Time [s]	Compound	Concentration	Cell Type	Cell Count	
E12	1	0	2081	9.7751081211	0.294569918309	0.00346767805427	0.000358747373937	1071.06733932	673	0.126034556188	357.741781208	33.4888558692	2423.16943044	4	0	0					
E13	1	0	2221	8.90004502476	0.251688428636	0.00327328507605	0.000306213282736	1065.92795204	606	0.129399160911	431.837705654	35.902640264	2838.19417481	4	0	0					
E14	1	0	2085	10.8964028777	0.337649880096	0.00345132649767	0.000418157578888	1027.42724887	769	0.123750601277	283.33144772	33.0936280884	1947.19148453	4	0	0					
E15	1	0	2375	28.0071578947	1.03789473684	0.00901688580156	0.00135439017718	1129.91668859	2674	0.123300038035	303.208942779	27.2905759162	2192.7143443	4	0	0					
E16	1	0	2323	9.91734825656	0.302195436935	0.00339104748794	0.000377975064814	1042.88196914	738	0.123040392795	315.259713176	32.8685636856	2122.76795109	4	0	0					
E17	1	0	2377	10.956668069	0.344972654607	0.00378776703765	0.000434337069868	1022.40003077	867	0.124430978555	321.234189159	31.9988465975	2165.92174214	4	0	0					
E18	1	0	2580	9.29224806202	0.303875968992	0.00303803981774	0.00040793094319	1027.97110134	828	0.120214055801	271.819767667	31.018115942	1947.85167248	4	0	0					
E19	1	0	2409	9.65421336654	0.270651722707	0.00322775992872	0.000340983277603	1001.54433402	703	0.123759257005	294.725941576	36.5291607397	2003.03227597	4	0	0					
E20	1	0	2131	52.7264195214	2.26278742374	0.0165071458367	0.00295972965025	1120.13613173	5294	0.128152183773	277.178645955	23.550245561	2003.360002	4	0	0					
E21	1	0	2441	9.06759524785	0.249897582958	0.00277414794889	0.000330611447542	951.885105766	652	0.117233102196	258.269552877	36.6794478528	1906.89304347	4	0	0					
E22	1	0	2299	10.7120487168	0.337538060026	0.00348919762295	0.000417816264855	934.05534426	854	0.120508267421	263.071789725	31.5245901639	1880.82638729	4	0	0					
