plate	well	raw_data	type
P102535	I15	11747	Data
P102535	I16	12369	Data
P102535	I17	11467	Data
P102535	I18	11911	Data
P102535	I19	10562	Data
P102535	I20	8772	Data
P102535	I21	11789	Data
P102535	I22	9822	Data
P102535	I23	10636	Data
P102535	I24	582	Pos
P102535	J01	5668	Neg
P102535	J02	7849	Data
P102535	J03	7891	Data
P102535	J04	10984	Data
P102535	J05	7847	Data
P102535	J06	9293	Data
P102535	J07	8237	Data
P102535	J08	8742	Data
P102535	J09	8898	Data
P102535	J10	10973	Data
P102535	J11	8749	Data
P102535	J12	9682	Data
P102535	J13	9163	Neg
P102535	J14	7876	Data
P102535	J15	10409	Data
P102535	J16	8577	Data
P102535	J17	9712	Data
P102535	J18	12224	Data
P102535	J19	9603	Data
P102535	J20	9042	Data
P102535	J21	10440	Data
P102535	J22	9545	Data
P102535	J23	10012	Data
P102535	J24	9618	Neg
P102535	K02	11084	Data
P102535	K03	9026	Data
P102535	K04	8990	Data
P102535	K05	10628	Data
P102535	K06	11423	Data
P102535	K07	10654	Data
P102535	K08	10541	Data
P102535	K09	9471	Data
P102535	K10	12835	Data
P102535	K11	10791	Data
P102535	K12	9208	Data
P102535	K14	9998	Data
P102535	K15	12602	Data
P102535	K16	11285	Data
P102535	K17	11903	Data
P102535	K18	9424	Data
P102535	K20	11203	Data
P102535	K21	8221	Data
P102535	K22	10862	Data
P102535	K23	12687	Data
P102535	L01	6081	Neg
P102535	L02	11424	Data
P102535	L03	9213	Data
P102535	L04	9147	Data
P102535	L05	11500	Data
P102535	L06	10728	Data
P102535	L07	8517	Data
P102535	L08	7477	Data
P102535	L09	7737	Data
P102535	L10	8885	Data
P102535	L11	10623	Data
P102535	L12	18771	Data
P102535	L13	8770	Neg
P102535	L14	10522	Data
P102535	L15	10476	Data
P102535	L16	7889	Data
P102535	L17	11042	Data
P102535	L18	11804	Data
P102535	L19	8805	Data
P102535	L20	9057	Data
P102535	L21	11249	Data
P102535	L23	8342	Data
P102535	L24	8591	Neg
P102535	M01	917	Pos
P102535	M02	12511	Data
P102535	M03	10616	Data
P102535	M04	9359	Data
P102535	M05	10302	Data
P102535	M06	10986	Data
P102535	M07	11165	Data
P102535	M08	11643	Data
P102535	M09	12477	Data
P102535	M10	8320	Data
P102535	M11	11292	Data
P102535	M12	10692	Data
P102535	M13	737	Pos
P102535	M14	13365	Data
P102535	M15	9916	Data
P102535	M16	13983	Data
P102535	M17	13518	Data
P102535	M18	12033	Data
P102535	M19	9915	Data
P102535	M20	9398	Data
P102535	M21	12493	Data
P102535	M22	13937	Data
P102535	M23	9430	Data
P102535	M24	870	Pos
P102535	N01	5974	Neg
P102535	N02	7000	Data
P102535	N03	13433	Data
P102535	N04	9628	Data
P102535	N05	9544	Data
P102535	N06	9048	Data
P102535	N07	8583	Data
P102535	N08	10027	Data
P102535	N09	5951	Data
P102535	N10	10429	Data
P102535	N12	9729	Data
P102535	N13	8970	Neg
P102535	N14	10145	Data
P102535	N15	9375	Data
P102535	N16	11722	Data
P102535	N17	14151	Data
P102535	N18	10930	Data
P102535	N19	9752	Data
P102535	N20	8965	Data
P102535	N21	10828	Data
P102535	N22	10577	Data
P102535	N23	9647	Data
P102535	N24	10629	Neg
P102535	O02	9520	Data
P102535	O03	9760	Data
P102535	O04	8822	Data
P102535	O05	8708	Data
P102535	O06	13510	Data
P102535	O07	2860	Data
P102535	O08	7979	Data
P102535	O09	7129	Data
P102535	O10	6396	Data
P102535	O11	13151	Data
P102535	O12	11474	Data
P102535	O14	11485	Data
P102535	O15	12314	Data
P102535	O16	7946	Data
P102535	O17	11813	Data
P102535	O18	11020	Data
P102535	O19	11757	Data
P102535	O20	8214	Data
P102535	O21	8511	Data
P102535	O22	17359	Data
P102535	O23	9949	Data
P102535	P01	5148	Neg
P102535	P02	7209	Data
P102535	P03	9419	Data
P102535	P04	7696	Data
P102535	P05	17259	Data
P102535	P06	7617	Data
P102535	P07	7319	Data
P102535	P08	9131	Data
P102535	P09	8281	Data
P102535	P10	9348	Data
P102535	P11	9153	Data
P102535	P12	9209	Data
P102535	P13	8490	Neg
P102535	P14	10610	Data
P102535	P15	7174	Data
P102535	P16	9794	Data
P102535	P17	9737	Data
P102535	P18	9606	Data
P102535	P19	9526	Data
P102535	P20	9927	Data
P102535	P21	10979	Data
P102535	P22	9927	Data
P102535	P23	8367	Data
P102535	P24	10695	Neg
