Well,Plane,Timepoint,Cell Selected - Number of Objects,Cell Selected - Total Spot Area - Mean per Well,Cell Selected - Number of Spots - Mean per Well,Cell Selected - Relative Spot Intensity - Mean per Well,Cell Selected - Number of Spots per Area of Cytoplasm - Mean per Well,Cell Selected - Intensity Cytoplasm Mean - Mean per Well,Spots Selected - Number of Objects,Spots Selected - Relative Spot  Intensity - Mean per Well,Spots Selected - Corrected Spot  Intensity - Mean per Well,Spots Selected - Spot Area [px²] - Mean per Well,Spots Selected - Intensity Spot Mean - Mean per Well,Number of Analyzed Fields,Height [µm],Time [s],Compound,Concentration,Cell Type,Cell Count,
G23,1,0,1566,169.505747126,7.81673052363,0.0609549288822,0.00858542504865,1737.19695691,13585,0.151085480916,507.932440494,21.8912771439,3118.24108893,4,0,0,,,,,
G24,1,0,1932,173.847308489,8.05538302277,0.0606968388206,0.00876756893358,2011.13740237,17117,0.145579785656,553.617090757,21.8037623415,3554.08508863,4,0,0,,,,,
H01,1,0,2344,9.68046075085,0.329778156997,0.00240620835189,0.000312552653744,860.47669656,866,0.126017395856,222.241168278,29.7644341801,1518.24069863,4,0,0,,,,,
H02,1,0,2226,93.2277628032,3.4469901168,0.024068625662,0.00360435944725,1236.31511995,8486,0.128666209396,314.736093864,27.0670516144,2235.16193717,4,0,0,,,,,
H03,1,0,2343,15.0994451558,0.522407170294,0.00396838167832,0.000546513122219,989.616551937,1337,0.122069970902,266.5648832,29.081525804,1869.52612024,4,0,0,,,,,
H04,1,0,2200,9.99909090909,0.319090909091,0.00310041766421,0.000325255133841,942.582905344,778,0.131539872329,320.268811371,31.6940874036,2106.11764349,4,0,0,,,,,
H05,1,0,2237,8.77425122932,0.297273133661,0.00329139503735,0.000309311906553,923.474277081,723,0.140538438748,331.611759696,29.5048409405,1995.28768072,4,0,0,,,,,
H06,1,0,2151,147.528591353,6.07252440725,0.0553769314449,0.00695600660646,1966.7574455,14272,0.145275699078,611.245087507,24.4458380045,3903.47003973,4,0,0,,,,,
H07,1,0,2099,54.2024773702,2.29919009052,0.0132606406727,0.0024162598777,1121.75837621,5228,0.123248987433,262.045419908,23.8190512624,1952.16045172,4,0,0,,,,,
H08,1,0,2200,10.5931818182,0.381818181818,0.00372617076973,0.00038976894701,1021.83841591,935,0.134448903881,340.337170934,28.0823529412,2158.60575743,4,0,0,,,,,
H09,1,0,2083,9.71915506481,0.398943831013,0.00333134134701,0.000390556994929,1058.86219456,923,0.136181539558,337.473282528,24.6933911159,2059.36964786,4,0,0,,,,,
H10,1,0,2244,12.5151515152,0.436274509804,0.00483128317384,0.000519250119406,1095.43221499,1091,0.138932464994,366.069760955,28.9037580202,2268.59636793,4,0,0,,,,,
H11,1,0,2103,7.88207322872,0.320494531621,0.00260217040652,0.000321310196944,999.379803697,733,0.134564944722,316.148831941,24.9222373806,2005.10674345,4,0,0,,,,,
H12,1,0,2197,102.319071461,5.07373691397,0.0297881435965,0.0056442941022,1479.59001767,12207,0.13303514261,380.990091864,20.3031047759,2642.13603142,4,0,0,,,,,
H13,1,0,2028,36.7707100592,1.34861932939,0.00884778513244,0.00135904612954,1096.1623277,2978,0.12081772955,267.159194076,27.5792478173,1962.52156568,4,0,0,,,,,
H14,1,0,2278,8.16417910448,0.265144863916,0.00315069490913,0.000289148756597,1089.850903,678,0.144138720078,392.631273578,31.3938053097,2354.75509651,4,0,0,,,,,
H15,1,0,2219,8.47183415953,0.327625056332,0.00301586777418,0.000341344360146,962.662691678,802,0.138085141832,315.110383343,26.150872818,1909.29149696,4,0,0,,,,,
H16,1,0,2040,8.30147058824,0.299019607843,0.00344448661128,0.000313918113124,1006.55237766,689,0.142557064531,391.883595686,28.0696661829,2285.27836076,4,0,0,,,,,
H17,1,0,2079,8.38191438191,0.262626262626,0.00300893875508,0.000269334238104,945.723778772,612,0.139518800589,356.30825017,32.2352941176,2106.26692378,4,0,0,,,,,
H18,1,0,1892,109.274312896,3.93498942918,0.0292407560963,0.0043750579209,1335.76494582,8252,0.127791140266,305.936877796,27.9939408628,2222.12505942,4,0,0,,,,,
H19,1,0,2115,15.8784869976,0.536170212766,0.0043460552661,0.000562621897621,927.047044189,1251,0.125490985715,245.770613058,29.8193445244,1656.8412032,4,0,0,,,,,
H20,1,0,2108,11.9520872865,0.428842504744,0.00375476273832,0.000445153896623,880.759862538,1002,0.128740997147,258.031238094,28.1487025948,1657.0942424,4,0,0,,,,,
H21,1,0,1705,7.56774193548,0.22991202346,0.00268345233692,0.000227891502248,1041.15267465,441,0.139651705826,400.482564201,33.3038548753,2410.54559229,3,0,0,,,,,
H22,1,0,2104,12.7186311787,0.467680608365,0.00380546015515,0.000459001065035,871.794960262,1095,0.134094483827,272.938390896,27.3506849315,1678.46923624,4,0,0,,,,,
H23,1,0,2114,9.88363292337,0.348155156102,0.0031546231161,0.000351480967198,880.174596289,829,0.137722099319,302.092435928,28.6948130277,1862.61087707,4,0,0,,,,,
H24,1,0,2191,9.02008215427,0.362391602008,0.00294481831236,0.00036905705962,887.992553607,908,0.131635112592,272.783255414,24.9438325991,1737.37156463,4,0,0,,,,,
I01,1,0,1960,9.12704081633,0.278571428571,0.00304905290809,0.000284364132867,835.680744497,629,0.135946397041,294.073710836,33.0842607313,1823.01105242,4,0,0,,,,,
I02,1,0,1855,140.311051213,5.22857142857,0.0425320151673,0.00564874769739,1500.57289159,10620,0.139561754682,412.195380601,26.9848399247,2748.03807153,4,0,0,,,,,
I03,1,0,2031,43.7823732152,1.57607090103,0.0099290727337,0.00161591261498,1019.01403024,3503,0.120838177399,226.958202431,28.2309449044,1708.69241757,4,0,0,,,,,
I04,1,0,1994,11.129889669,0.370611835507,0.00328325622855,0.000368041461143,910.588015992,824,0.126461342742,259.325759791,30.1941747573,1724.16777164,4,0,0,,,,,
I05,1,0,2080,8.30673076923,0.269711538462,0.00290788274736,0.000276308534033,910.456923949,631,0.133429021993,307.117440881,30.9191759113,1921.4314812,4,0,0,,,,,
I06,1,0,2103,9.53019495958,0.309082263433,0.00340430420139,0.000315437372322,906.962459163,707,0.135247090265,303.099232352,30.9250353607,1895.15321172,4,0,0,,,,,
I07,1,0,2131,8.80244016893,0.316752698264,0.00344989991959,0.000341149600933,918.291095039,734,0.138286680462,334.898572258,27.8297002725,2032.444104,4,0,0,,,,,
I08,1,0,2048,140.23828125,6.20263671875,0.0527717475476,0.0072468489368,1967.477407,14129,0.144481984951,594.87027703,22.8103192016,3810.14415702,4,0,0,,,,,
I09,1,0,2145,47.7846153846,2.14731934732,0.0121874375443,0.00237559978637,1186.73786883,5036,0.12325008977,274.296974192,22.3935663225,2057.07481231,4,0,0,,,,,
I10,1,0,2015,11.2689826303,0.429776674938,0.00334447574517,0.000435254800239,985.836021466,958,0.132483309349,297.677026161,26.2526096033,1890.79730564,4,0,0,,,,,
I11,1,0,2070,8.21256038647,0.342512077295,0.00270722696083,0.000366985447568,983.487711174,784,0.130691536326,277.980738167,24.25,1821.29728969,4,0,0,,,,,
I12,1,0,2181,7.21870701513,0.248968363136,0.00290516697189,0.000260758898233,939.058273229,606,0.140891152861,351.324249501,29.2062706271,2083.75403528,4,0,0,,,,,
I13,1,0,2078,6.78344562079,0.248315688162,0.00255811970743,0.000257416860572,1011.65929911,563,0.139197864355,354.843733474,28.163410302,2095.58851377,4,0,0,,,,,
I14,1,0,2230,78.8076233184,3.15695067265,0.0208838587858,0.00349314770302,1279.46600306,7670,0.128373242864,309.619544279,25.195958279,2218.25604248,4,0,0,,,,,
