,,,PltRpt=1 Group=1 LUM 01sec(1) De=1st Ex=N/A Em=Top Wdw=N/A,,,,,
Plate,Barcode,Well,CalcResultI,Signal,Flashes/Time,MeasTime,,
1,,M15,87400,8740,0.1,00:00:58.678,,
1,,M16,87960,8796,0.1,00:00:58.870,,
1,,M17,86600,8660,0.1,00:00:59.062,,
1,,M18,72880,7288,0.1,00:00:59.254,,
1,,M19,81480,8148,0.1,00:00:59.446,,
1,,M20,82400,8240,0.1,00:00:59.639,,
1,,M21,82680,8268,0.1,00:00:59.831,,
1,,M22,83080,8308,0.1,00:01:00.023,,
1,,M23,960,96,0.1,00:01:00.214,,
1,,M24,81680,8168,0.1,00:01:00.406,,
1,,N01,83360,8336,0.1,00:01:05.069,,
1,,N02,84120,8412,0.1,00:01:04.877,,
1,,N03,82640,8264,0.1,00:01:04.686,,
1,,N04,88400,8840,0.1,00:01:04.494,,
1,,N05,84760,8476,0.1,00:01:04.302,,
1,,N06,84320,8432,0.1,00:01:04.111,,
1,,N07,81560,8156,0.1,00:01:03.919,,
1,,N08,87480,8748,0.1,00:01:03.728,,
1,,N09,81680,8168,0.1,00:01:03.536,,
1,,N10,81240,8124,0.1,00:01:03.345,,
1,,N11,79880,7988,0.1,00:01:03.153,,
1,,N12,78280,7828,0.1,00:01:02.961,,
1,,N13,90600,9060,0.1,00:01:02.769,,
1,,N14,80120,8012,0.1,00:01:02.577,,
1,,N15,81440,8144,0.1,00:01:02.385,,
1,,N16,89320,8932,0.1,00:01:02.193,,
1,,N17,82720,8272,0.1,00:01:02.001,,
1,,N18,80400,8040,0.1,00:01:01.809,,
1,,N19,81520,8152,0.1,00:01:01.618,,
1,,N20,77440,7744,0.1,00:01:01.427,,
1,,N21,79520,7952,0.1,00:01:01.236,,
1,,N22,82920,8292,0.1,00:01:01.045,,
1,,N23,840,84,0.1,00:01:00.853,,
1,,N24,80000,8000,0.1,00:01:00.661,,
1,,O01,82440,8244,0.1,00:01:05.324,,
1,,O02,90720,9072,0.1,00:01:05.516,,
1,,O03,86320,8632,0.1,00:01:05.708,,
1,,O04,82000,8200,0.1,00:01:05.899,,
1,,O05,82400,8240,0.1,00:01:06.091,,
1,,O06,80720,8072,0.1,00:01:06.284,,
1,,O07,78800,7880,0.1,00:01:06.476,,
1,,O08,89360,8936,0.1,00:01:06.668,,
1,,O09,85720,8572,0.1,00:01:06.860,,
1,,O10,82640,8264,0.1,00:01:07.052,,
1,,O11,82240,8224,0.1,00:01:07.244,,
1,,O12,78240,7824,0.1,00:01:07.436,,
1,,O13,79920,7992,0.1,00:01:07.628,,
1,,O14,84160,8416,0.1,00:01:07.820,,
1,,O15,79680,7968,0.1,00:01:08.011,,
1,,O16,85360,8536,0.1,00:01:08.203,,
1,,O17,83120,8312,0.1,00:01:08.394,,
1,,O18,83360,8336,0.1,00:01:08.586,,
1,,O19,73040,7304,0.1,00:01:08.778,,
1,,O20,79280,7928,0.1,00:01:08.970,,
1,,O21,82360,8236,0.1,00:01:09.163,,
1,,O22,75160,7516,0.1,00:01:09.355,,
1,,O23,840,84,0.1,00:01:09.547,,
1,,O24,86240,8624,0.1,00:01:09.738,,
1,,P01,83280,8328,0.1,00:01:14.403,,
1,,P02,83240,8324,0.1,00:01:14.211,,
1,,P03,95000,9500,0.1,00:01:14.020,,
1,,P04,82520,8252,0.1,00:01:13.828,,
1,,P05,74800,7480,0.1,00:01:13.636,,
1,,P06,80560,8056,0.1,00:01:13.443,,
1,,P07,42320,4232,0.1,00:01:13.252,,
1,,P08,66720,6672,0.1,00:01:13.060,,
1,,P09,79640,7964,0.1,00:01:12.869,,
1,,P10,71920,7192,0.1,00:01:12.677,,
1,,P11,76960,7696,0.1,00:01:12.486,,
1,,P12,76400,7640,0.1,00:01:12.294,,
1,,P13,77400,7740,0.1,00:01:12.102,,
1,,P14,76040,7604,0.1,00:01:11.910,,
