PlateNumber,Group,Well,Kinetic,MeasInfo,MeasTime,Signal,Flashes/Time,Result,
1,1,F06,0,De=1st Ex=N/A Em=Top Wdw=N/A,00:00:26.776,8160,0.1,81600,
1,1,F07,0,De=1st Ex=N/A Em=Top Wdw=N/A,00:00:26.584,8680,0.1,86800,
1,1,F08,0,De=1st Ex=N/A Em=Top Wdw=N/A,00:00:26.392,8616,0.1,86160,
1,1,F09,0,De=1st Ex=N/A Em=Top Wdw=N/A,00:00:26.200,8912,0.1,89120,
1,1,F10,0,De=1st Ex=N/A Em=Top Wdw=N/A,00:00:26.008,8652,0.1,86520,
1,1,F11,0,De=1st Ex=N/A Em=Top Wdw=N/A,00:00:25.817,8480,0.1,84800,
1,1,F12,0,De=1st Ex=N/A Em=Top Wdw=N/A,00:00:25.626,8380,0.1,83800,
1,1,F13,0,De=1st Ex=N/A Em=Top Wdw=N/A,00:00:25.434,7724,0.1,77240,
1,1,F14,0,De=1st Ex=N/A Em=Top Wdw=N/A,00:00:25.243,8820,0.1,88200,
1,1,F15,0,De=1st Ex=N/A Em=Top Wdw=N/A,00:00:25.052,9040,0.1,90400,
1,1,F16,0,De=1st Ex=N/A Em=Top Wdw=N/A,00:00:24.860,8768,0.1,87680,
1,1,F17,0,De=1st Ex=N/A Em=Top Wdw=N/A,00:00:24.668,8480,0.1,84800,
1,1,F18,0,De=1st Ex=N/A Em=Top Wdw=N/A,00:00:24.476,8568,0.1,85680,
1,1,F19,0,De=1st Ex=N/A Em=Top Wdw=N/A,00:00:24.285,8636,0.1,86360,
1,1,F20,0,De=1st Ex=N/A Em=Top Wdw=N/A,00:00:24.093,8444,0.1,84440,
1,1,F21,0,De=1st Ex=N/A Em=Top Wdw=N/A,00:00:23.901,8428,0.1,84280,
1,1,F22,0,De=1st Ex=N/A Em=Top Wdw=N/A,00:00:23.709,8732,0.1,87320,
1,1,F23,0,De=1st Ex=N/A Em=Top Wdw=N/A,00:00:23.518,72,0.1,720,
1,1,F24,0,De=1st Ex=N/A Em=Top Wdw=N/A,00:00:23.326,8644,0.1,86440,
1,1,G01,0,De=1st Ex=N/A Em=Top Wdw=N/A,00:00:27.990,8772,0.1,87720,
1,1,G02,0,De=1st Ex=N/A Em=Top Wdw=N/A,00:00:28.182,8904,0.1,89040,
1,1,G03,0,De=1st Ex=N/A Em=Top Wdw=N/A,00:00:28.373,8368,0.1,83680,
1,1,G04,0,De=1st Ex=N/A Em=Top Wdw=N/A,00:00:28.566,7992,0.1,79920,
1,1,G05,0,De=1st Ex=N/A Em=Top Wdw=N/A,00:00:28.757,8304,0.1,83040,
1,1,G06,0,De=1st Ex=N/A Em=Top Wdw=N/A,00:00:28.949,8836,0.1,88360,
1,1,G07,0,De=1st Ex=N/A Em=Top Wdw=N/A,00:00:29.141,8932,0.1,89320,
1,1,G08,0,De=1st Ex=N/A Em=Top Wdw=N/A,00:00:29.332,8736,0.1,87360,
1,1,G09,0,De=1st Ex=N/A Em=Top Wdw=N/A,00:00:29.524,9036,0.1,90360,
1,1,G10,0,De=1st Ex=N/A Em=Top Wdw=N/A,00:00:29.715,8624,0.1,86240,
1,1,G11,0,De=1st Ex=N/A Em=Top Wdw=N/A,00:00:29.907,8068,0.1,80680,
1,1,G12,0,De=1st Ex=N/A Em=Top Wdw=N/A,00:00:30.099,8752,0.1,87520,
1,1,G13,0,De=1st Ex=N/A Em=Top Wdw=N/A,00:00:30.292,8520,0.1,85200,
1,1,G14,0,De=1st Ex=N/A Em=Top Wdw=N/A,00:00:30.484,8596,0.1,85960,
1,1,G15,0,De=1st Ex=N/A Em=Top Wdw=N/A,00:00:30.676,8608,0.1,86080,
1,1,G16,0,De=1st Ex=N/A Em=Top Wdw=N/A,00:00:30.868,7744,0.1,77440,
